# Pe    mu
1.604010e+00 2.362763e+02
1.629073e+00 2.364865e+02
1.629073e+00 2.366967e+02
1.629073e+00 2.369069e+02
1.654135e+00 2.371171e+02
1.654135e+00 2.373273e+02
1.654135e+00 2.375375e+02
1.654135e+00 2.377477e+02
1.679198e+00 2.379580e+02
1.679198e+00 2.381682e+02
1.679198e+00 2.383784e+02
1.704261e+00 2.385886e+02
1.704261e+00 2.387988e+02
1.704261e+00 2.390090e+02
1.704261e+00 2.392192e+02
1.729323e+00 2.394294e+02
1.729323e+00 2.396396e+02
1.729323e+00 2.398498e+02
1.729323e+00 2.400601e+02
1.754386e+00 2.402703e+02
1.754386e+00 2.404805e+02
1.754386e+00 2.406907e+02
1.754386e+00 2.409009e+02
1.779449e+00 2.411111e+02
1.779449e+00 2.413213e+02
1.779449e+00 2.415315e+02
1.779449e+00 2.417417e+02
1.804511e+00 2.419520e+02
1.804511e+00 2.421622e+02
1.804511e+00 2.423724e+02
1.804511e+00 2.425826e+02
1.829574e+00 2.427928e+02
1.829574e+00 2.430030e+02
1.829574e+00 2.432132e+02
1.829574e+00 2.434234e+02
1.854637e+00 2.436336e+02
1.854637e+00 2.438438e+02
1.854637e+00 2.440541e+02
1.854637e+00 2.442643e+02
1.879699e+00 2.444745e+02
1.879699e+00 2.446847e+02
1.879699e+00 2.448949e+02
1.879699e+00 2.451051e+02
1.904762e+00 2.453153e+02
1.904762e+00 2.455255e+02
1.904762e+00 2.457357e+02
1.904762e+00 2.459459e+02
1.929825e+00 2.461562e+02
1.929825e+00 2.463664e+02
1.929825e+00 2.465766e+02
1.929825e+00 2.467868e+02
1.954887e+00 2.469970e+02
1.954887e+00 2.472072e+02
1.954887e+00 2.474174e+02
1.954887e+00 2.476276e+02
1.979950e+00 2.478378e+02
1.979950e+00 2.480480e+02
1.979950e+00 2.482583e+02
1.979950e+00 2.484685e+02
1.979950e+00 2.486787e+02
2.005013e+00 2.488889e+02
2.005013e+00 2.490991e+02
2.005013e+00 2.493093e+02
2.005013e+00 2.495195e+02
2.030075e+00 2.497297e+02
2.030075e+00 2.499399e+02
2.030075e+00 2.501502e+02
2.030075e+00 2.503604e+02
2.030075e+00 2.505706e+02
2.055138e+00 2.507808e+02
2.055138e+00 2.509910e+02
2.055138e+00 2.512012e+02
2.055138e+00 2.514114e+02
2.080201e+00 2.516216e+02
2.080201e+00 2.518318e+02
2.080201e+00 2.520420e+02
2.080201e+00 2.522523e+02
2.080201e+00 2.524625e+02
2.105263e+00 2.526727e+02
2.105263e+00 2.528829e+02
2.105263e+00 2.530931e+02
2.105263e+00 2.533033e+02
2.130326e+00 2.535135e+02
2.130326e+00 2.537237e+02
2.130326e+00 2.539339e+02
2.130326e+00 2.541441e+02
2.130326e+00 2.543544e+02
2.155388e+00 2.545646e+02
2.155388e+00 2.547748e+02
2.155388e+00 2.549850e+02
2.155388e+00 2.551952e+02
2.155388e+00 2.554054e+02
2.180451e+00 2.556156e+02
2.180451e+00 2.558258e+02
2.180451e+00 2.560360e+02
2.180451e+00 2.562462e+02
2.205514e+00 2.564565e+02
2.205514e+00 2.566667e+02
2.205514e+00 2.568769e+02
2.205514e+00 2.570871e+02
2.205514e+00 2.572973e+02
2.230576e+00 2.575075e+02
2.230576e+00 2.577177e+02
2.230576e+00 2.579279e+02
2.230576e+00 2.581381e+02
2.230576e+00 2.583483e+02
2.255639e+00 2.585586e+02
2.255639e+00 2.587688e+02
2.255639e+00 2.589790e+02
2.255639e+00 2.591892e+02
2.255639e+00 2.593994e+02
2.280702e+00 2.596096e+02
2.280702e+00 2.598198e+02
2.280702e+00 2.600300e+02
2.280702e+00 2.602402e+02
2.280702e+00 2.604505e+02
2.305764e+00 2.606607e+02
2.305764e+00 2.608709e+02
2.305764e+00 2.610811e+02
2.305764e+00 2.612913e+02
2.305764e+00 2.615015e+02
2.330827e+00 2.617117e+02
2.330827e+00 2.619219e+02
2.330827e+00 2.621321e+02
2.330827e+00 2.623423e+02
2.330827e+00 2.625526e+02
2.355890e+00 2.627628e+02
2.355890e+00 2.629730e+02
2.355890e+00 2.631832e+02
2.355890e+00 2.633934e+02
2.355890e+00 2.636036e+02
2.380952e+00 2.638138e+02
2.380952e+00 2.640240e+02
2.380952e+00 2.642342e+02
2.380952e+00 2.644444e+02
2.380952e+00 2.646547e+02
2.406015e+00 2.648649e+02
2.406015e+00 2.650751e+02
2.406015e+00 2.652853e+02
2.406015e+00 2.654955e+02
2.406015e+00 2.657057e+02
2.406015e+00 2.659159e+02
2.431078e+00 2.661261e+02
2.431078e+00 2.663363e+02
2.431078e+00 2.665465e+02
2.431078e+00 2.667568e+02
2.431078e+00 2.669670e+02
2.456140e+00 2.671772e+02
2.456140e+00 2.673874e+02
2.456140e+00 2.675976e+02
2.456140e+00 2.678078e+02
2.456140e+00 2.680180e+02
2.481203e+00 2.682282e+02
2.481203e+00 2.684384e+02
2.481203e+00 2.686486e+02
2.481203e+00 2.688589e+02
2.481203e+00 2.690691e+02
2.481203e+00 2.692793e+02
2.506266e+00 2.694895e+02
2.506266e+00 2.696997e+02
